[13/Jun/2025:15:01:34 +0000] - 200 200 - GET https qbt.dragnet.in "/views/transferlist.html" [Client 10.0.0.33] [Length 788] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:34 +0000] - 200 200 - GET https qbt.dragnet.in "/views/propertiesToolbar.html" [Client 10.0.0.33] [Length 378] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:34 +0000] - 200 200 - GET https qbt.dragnet.in "/views/properties.html" [Client 10.0.0.33] [Length 925] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:34 +0000] - 200 200 - GET https qbt.dragnet.in "/views/rss.html" [Client 10.0.0.33] [Length 6692] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:34 +0000] - 200 200 - GET https qbt.dragnet.in "/views/search.html" [Client 10.0.0.33] [Length 1981] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:34 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/sync/maindata?rid=0" [Client 10.0.0.33] [Length 3110] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:35 +0000] - 200 200 - GET https qbt.dragnet.in "/" [Client 10.0.0.33] [Length 4114] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "http://10.0.0.20:81/"
[13/Jun/2025:15:01:35 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/app/buildInfo" [Client 10.0.0.33] [Length 120] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:35 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/app/preferences" [Client 10.0.0.33] [Length 2141] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:35 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/app/version" [Client 10.0.0.33] [Length 6] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:35 +0000] - 200 200 - GET https qbt.dragnet.in "/views/filters.html" [Client 10.0.0.33] [Length 1808] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:35 +0000] - 200 200 - GET https qbt.dragnet.in "/views/transferlist.html" [Client 10.0.0.33] [Length 788] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:35 +0000] - 200 200 - GET https qbt.dragnet.in "/views/propertiesToolbar.html" [Client 10.0.0.33] [Length 378] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:35 +0000] - 200 200 - GET https qbt.dragnet.in "/views/properties.html" [Client 10.0.0.33] [Length 925] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:35 +0000] - 200 200 - GET https qbt.dragnet.in "/views/rss.html" [Client 10.0.0.33] [Length 6692] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:35 +0000] - 200 200 - GET https qbt.dragnet.in "/views/search.html" [Client 10.0.0.33] [Length 1981] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:35 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/sync/maindata?rid=0" [Client 10.0.0.33] [Length 3123] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:35 +0000] - 200 200 - GET https qbt.dragnet.in "/" [Client 10.0.0.33] [Length 4114] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "http://10.0.0.20:81/"
[13/Jun/2025:15:01:36 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/app/buildInfo" [Client 10.0.0.33] [Length 120] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:36 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/app/preferences" [Client 10.0.0.33] [Length 2141] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:36 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/app/version" [Client 10.0.0.33] [Length 6] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:36 +0000] - 200 200 - GET https qbt.dragnet.in "/views/filters.html" [Client 10.0.0.33] [Length 1808] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:36 +0000] - 200 200 - GET https qbt.dragnet.in "/views/transferlist.html" [Client 10.0.0.33] [Length 788] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:36 +0000] - 200 200 - GET https qbt.dragnet.in "/views/propertiesToolbar.html" [Client 10.0.0.33] [Length 378] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:36 +0000] - 200 200 - GET https qbt.dragnet.in "/views/properties.html" [Client 10.0.0.33] [Length 925] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:36 +0000] - 200 200 - GET https qbt.dragnet.in "/views/rss.html" [Client 10.0.0.33] [Length 6692] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
